TweetID,LangID,TopicID,HateLabel,TweetText
1278076979778973696,1,3,0,Joe Biden emerged from his basement to whine and bitch about Trump without offering any solutions.
1343630042526601217,1,1,0,NA
1233897422591578113,1,4,0,I’m looking forward to connecting with fellow @UArkansas alums in Greenville during the Women’s Basketball SEC Tournament even though I’m definitely repping my #Gamecocks.
1344777404628279297,1,4,0,"I still can’t believe I didn’t win the chip in fantasy football. When I tell y’all I was killing people teams ALL season, then lose in the playoffs. 😒"
1233897542779310086,1,3,0,"#Trump Says: Dana, you are the real deal! https://t.co/JtPsO1f1EU"
1376531295745011712,1,1,1,whos blood is even in those gay satanic shoes??
1377402003576418307,1,1,0,"Why are ""gender reveal"" stunts still a thing? Make sure your kid comes out with all of its fingers, toes, and other appropriate parts and post a FB message or whatever. FFS 
Two Killed After Plane Crashes During Gender Reveal https://t.co/fhXfZbN1Oh via @thedailybeast"
1233904779862126593,1,3,0,Senator Sanders will run off with 30% of the vote. Much of the 70% will show their displeasure #MSNBC
1233902811689160705,1,3,0,Trump administration about to give Israel $3.8 billion https://t.co/aiPZB4YHgd
1233889687380602883,1,4,0,"""I was in that pressure the whole summer trying to get back on the court, trying to get back on the court. It was a scab and I kept picking at it.”

Last season was a painful challenge for Diana Taurasi. But she’s ready to resume her hunt for perfection.

https://t.co/TpHLHT2ioT"
1277803960800288768,1,1,0,"Recently alotta people say things  things that make me feel disgust + think “I hate gender”

...like I’m not nb or anything but I don’t like being put in the category “woman” half the time. 

:// it’s weird bc my brain is like “technically u r a girl” but I really don’t feel it"
1342750820425723904,1,1,0,NA
1377274991486533632,1,3,0,"#Pakistan’s intelligence agency has summoned the #Taliban’s shadow governors and commanders to wage war in #Afghanistan, said Nazar Ali Wahidi, the deputy head of the National Directorate of Security, Afghanistan's intelligence agency.

So much for peace!
https://t.co/tyFkMKcw67"
1233862769319038977,1,1,1,NA
1343970405816684544,1,2,0,"Russian armed forces attacked Ukraine at Vodyane, Talakivka, Nevelske and Avdiivka today. The invaders fired 120 &amp; 82mm mortars, grenade launchers and small arms. ""Ukrainian defenders returned fire on numerous enemy shellings."" #RussiaInvadedUkraine https://t.co/SALW70RR8h https://t.co/q966YQ7fxy"
1344570562354556928,1,0,0,"A great initiative among all the misery.

Covid survivors from the Orthodox Jewish community donating their blood plasma.

Organised by @jccnorthlondon https://t.co/Ah0itPluOr"
1343914751550746627,1,1,0,"With the religious right actively demonizing transgender people and triggering court scrutiny of conversion therapy bans, how much more “religious freedom” hypocrisy will the mainline church continue to abide? Lori Heine demands answers. https://t.co/0ooWbqJUzJ"
1377278950808772617,1,3,0,NA
1377288325602533379,1,4,0,James Ward-Prowse out of England squad for Poland clash https://t.co/NkS5tskuzk
1377269814151020550,1,3,0,Proud family moment as Biden honors #Worcester soldier #killed in #Vietnam - Mar 31 @ 10:39 AM ET https://t.co/Hk3x0TaI8o
1343810431446622208,1,4,0,Quez Watkins: Hauls in long bomb in loss https://t.co/u4e4Us69w8
1344708771491295233,1,3,0,You couldn’t catch me DEAD in the car with someone who had trump stickers all over their cars 🤮🤮🤮
1344392976370454533,1,1,0,NA
1344639717778735106,1,0,0,"WALLAHI No mob can attack MUSLIMs and MASJIDS when we muslims offer our 5 Salah's at MASJID ... 

THAT'S IT , THATS THE TWEET !"
1377372853754945537,1,0,0,"This is Robbie.’ Dusty produce the doggie bowl I’d ordered.

Read the full article: Serial Killers: Valentine’s Night in the 70-Shot Club (Part 1) by Christian McCulloch
▸ https://t.co/XH1oa0lAlw

#amwriting #SerialKillers #HorrorTree https://t.co/g8Mm5o8E1g"
