TweetID,LangID,TopicID,HateLabel,TweetText
1344794359233998850,1,1,0,Na
1344794162625916935,1,1,0,Na
1344794094837637121,1,1,0,Na
1344790842117140483,1,1,0,Na
1344788907360190465,1,1,0,Na
1344788699549200388,1,1,0,Na
1344788434267869192,1,1,0,Na
1344787901180211201,1,1,0,Na
1344787899292651520,1,1,0,Na
1344786022026997760,1,0,2,Na
1344784810066259968,1,1,2,Na
1344782924802117634,1,1,1,Na
1344782349834178560,1,1,0,Na
1344780642383441920,1,1,0,Na
1344780178363277313,1,1,0,Na
1344780000566898690,1,1,1,Na
1344779953187991555,1,1,2,Na
1344778928825786368,1,1,2,Na
1344777615500922880,1,1,0,Na
1344777393802604544,1,1,0,Na
1344775972340563970,1,1,0,Na
1344775850210848768,1,1,0,Na
1344775796959965184,1,1,0,Na
1344775246105227265,1,1,1,Na
1344774416417357824,1,1,1,Na
1344774380618981379,1,1,0,Na
1344774042977402880,1,1,0,Na
1344773081584300033,1,1,0,Na
1344772051542958085,1,1,0,Na
1344769770869186561,1,1,0,Na
1344769584231022593,1,1,0,Na
1344768874202374145,1,1,0,Na
1344767632365527045,1,1,2,Na
1344767575478177792,1,1,0,Na
1344766969279635467,1,1,1,Na
1344766139126206466,1,1,0,Na
1344763028735197191,1,1,0,Na
1344762022983041027,1,1,1,Na
1344761075821142017,1,1,0,Na
1344760211295244289,1,1,2,Na
1344760103266779136,1,1,0,Na
1344758746073817088,1,1,0,Na
1344757912858578944,1,1,0,Na
1344757747003355137,1,1,0,Na
1344756968007806978,1,1,0,Na
1344754477648195584,1,1,2,Na
1344754165797404672,1,1,0,Na
1344753716927324160,1,1,0,Na
1344752704560771075,1,1,0,Na
1344752574558298113,1,1,0,Na
1344745763037966337,1,1,2,Na
1344745501468614657,1,1,0,Na
1344745451933769729,1,1,0,Na
1344744710452121602,1,1,0,Na
1344743768616943616,1,1,0,Na
1344743695925432320,1,1,0,Na
1344742853746937857,1,1,2,Na
1344742544517656576,1,1,0,Na
